0	0	0
0.1	2	0.000204897039237783014
0.2	4	0.000409794078475566028
0.3	7	0.000717139637332240549
0.4	14	0.0014342792746644811
0.5	20	0.00204897039237783014
0.6	27	0.00276611002971007069
0.7	35	0.00358569818666120275
0.8	54	0.00553222005942014138
0.9	75	0.00768363897141686303
1	94	0.00963016084417580166
1.1	110	0.0112693371580780658
1.2	130	0.0133183075504558959
1.3	143	0.0146501383055014855
1.4	171	0.0175186968548304477
1.5	188	0.0192603216883516033
1.6	214	0.0219239831984427825
1.7	236	0.0241778506300583957
1.8	258	0.0264317180616740088
1.9	281	0.0287880340129085135
2	312	0.0319639381210941502
2.1	344	0.0352422907488986784
2.2	370	0.0379059522589898576
2.3	397	0.0406720622886999283
2.4	418	0.0428234812006966499
2.5	442	0.0452822456715500461
2.6	474	0.0485605982993545743
2.7	516	0.0528634361233480176
2.8	548	0.0561417887511525458
2.9	582	0.0596250384181948571
3	624	0.0639278762421883004
3.06	654	0.0670013318307550456
3.12	684	0.0700747874193217908
3.18	716	0.073353140047126319
3.25	733	0.0750947648806474746
3.31	763	0.0781682204692142199
3.38	797	0.0816514701362565311
3.45	817	0.0837004405286343612
3.51	845	0.0865689990779633234
3.59	876	0.0897449031861489601
3.66	893	0.0914865280196701158
3.73	922	0.0944575350886179695
3.80	948	0.0971211965987091487
3.88	971	0.0994775125499436533
3.96	1010	0.103473004815080422
4.04	1048	0.107366048560598299
4.12	1081	0.110746849708021719
4.20	1119	0.114639893453539596
4.28	1158	0.118635385718676365
4.37	1202	0.123143120581907591
4.46	1258	0.128880237680565516
4.55	1315	0.134719803298842332
4.64	1369	0.140252023358262473
4.73	1418	0.145272000819588157
4.83	1468	0.150394426800532732
4.92	1524	0.156131543899190657
5.02	1572	0.161049072840897449
5.12	1624	0.166376395861079807
5.22	1689	0.173035549636307755
5.33	1767	0.181026534166581293
5.43	1828	0.187275893863333675
5.54	1884	0.193013010961991599
5.65	1955	0.200286855854932896
5.77	2017	0.20663866407130417
5.88	2075	0.212580678209199877
6.00	2152	0.220469214219854523
6.12	2232	0.228665095789365844
6.24	2308	0.236451183280401598
6.37	2381	0.243929925212580678
6.49	2450	0.250998873066284192
6.62	2533	0.259502100194652187
6.76	2632	0.269644503636922446
6.89	2720	0.278659973363384899
7.03	2809	0.287777891609466243
7.17	2909	0.298022743571355394
7.31	3012	0.308574941092101219
7.46	3110	0.318614896014752587
7.61	3204	0.328245056858928388
7.76	3303	0.338387460301198648
7.92	3408	0.349144554861182256
8.07	3531	0.361745722774305911
8.24	3638	0.372707714373527303
8.40	3758	0.385001536727794283
8.57	3884	0.397910050199774613
8.74	4006	0.410408769593279377
8.92	4117	0.421780555270976334
9.09	4224	0.432742546870197726
9.28	4353	0.44595840590103473
9.46	4458	0.456715500461018338
9.65	4584	0.469624013932998668
9.84	4702	0.481712939248027866
10.04	4820	0.493801864563057064
10.24	4922	0.504251613564183998
10.45	5046	0.516955229996926544
10.65	5167	0.529351500870812417
10.87	5290	0.541952668783936072
11.08	5408	0.55404159409896527
11.31	5528	0.566335416453232251
11.53	5654	0.579243929925212581
11.76	5782	0.592357340436430694
12.00	5917	0.606187890584981047
12.24	6054	0.620223337772769183
12.48	6166	0.631697571970085032
12.73	6294	0.644810982481303145
12.99	6402	0.655875422600143428
13.25	6511	0.667042311238602602
13.51	6620	0.678209199877061776
13.78	6723	0.688761397397807602
14.06	6836	0.700338080114742342
14.34	6943	0.711300071713963733
14.63	7056	0.722876754430898474
14.92	7148	0.732302018235836492
15.22	7249	0.742649318717344534
15.52	7348	0.752791722159614794
15.83	7465	0.7647781989550251
16.15	7545	0.77297408052453642
16.47	7651	0.78383362360413892
16.80	7745	0.793463784448314722
17.14	7842	0.803401290851347198
17.48	7928	0.812211863538571868
17.83	8002	0.819793053990369839
18.19	8066	0.826349759245978896
18.55	8151	0.835057883413584674
18.92	8216	0.841717037188812622
19.30	8284	0.848683536522897244
19.69	8350	0.855445138817744084
20.08	8421	0.862718983710685381
20.48	8498	0.870607519721340027
20.89	8568	0.877778916094662432
21.31	8626	0.88372093023255814
21.73	8703	0.891609466243212786
22.17	8756	0.897039237783014035
22.61	8807	0.902264112283577502
23.06	8854	0.907079192705665403
23.53	8904	0.912201618686609978
24.00	8941	0.915992213912508964
24.48	8991	0.92111463989345354
24.97	9039	0.926032168835160332
25.46	9074	0.929617867021821535
25.97	9120	0.934330498924290544
26.49	9163	0.938735785267902879
27.02	9203	0.942833726052658539
27.56	9236	0.946214527200081959
28.12	9276	0.950312467984837619
28.68	9305	0.953283475053785473
29.25	9333	0.956152033603114435
29.84	9363	0.95922548919168118
30.43	9385	0.961479356623296793
31.04	9406	0.963630775535293515
31.66	9434	0.966499334084622477
32.30	9460	0.969162995594713656
32.94	9483	0.971519311545948161
33.60	9504	0.973670730457944883
34.27	9516	0.974900112693371581
34.96	9532	0.976539289007273845
35.66	9548	0.978178465321176109
36.37	9561	0.979510296076221699
37.10	9572	0.980637229792029505
37.84	9583	0.981764163507837312
38.60	9588	0.982276406105931769
39.37	9602	0.98371068538059625
40.16	9609	0.984427825017928491
40.96	9617	0.985247413174879623
41.78	9624	0.985964552812211864
42.61	9635	0.98709148652801967
43.47	9645	0.988115971724208585
44.33	9650	0.988628214322303043
45.22	9660	0.989652699518491958
46.13	9665	0.990164942116586415
47.05	9671	0.990779633234299764
47.99	9679	0.991599221391250896
48.95	9684	0.992111463989345354
49.93	9686	0.992316361028583137
50.93	9690	0.992726155107058703
51.95	9695	0.993238397705153161
52.98	9697	0.993443294744390944
